ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
East Midlands ,E07000132,Hinckley and Bosworth,"1,163","1,173","1,258","1,299","1,331","1,406","1,452","1,496","1,646","1,739","1,860","1,702","1,809","1,837","1,915","2,004","2,121","2,134","2,154","2,288","2,328","2,398","2,271","2,552","2,776","2,944"
East Midlands ,E07000133,Melton,627,634,655,665,700,720,736,731,793,844,887,897,930,916,952,972,965,"1,084","1,131","1,140","1,217","1,272","1,199","1,342","1,416","1,493"
East Midlands ,E07000134,North West Leicestershire,"1,648","1,671","1,753","1,787","1,871","2,039","2,088","2,195","2,349","2,494","2,564","2,426","2,576","2,552","2,654","2,879","2,973","3,019","3,206","3,270","3,570","3,692","3,360","3,935","4,399","4,907"
East Midlands ,E07000135,Oadby and Wigston,465,477,496,511,521,555,578,593,628,653,688,667,687,681,724,728,723,726,756,745,770,787,743,839,886,"1,009"
East Midlands ,E06000062,West Northamptonshire,"5,334","5,423","5,808","6,019","6,219","6,506","6,843","7,228","7,865","8,371","8,703","8,417","8,746","8,849","8,993","9,558","9,964","10,357","10,767","11,444","12,242","12,698","12,168","13,404","14,634","15,792"
East Midlands ,E06000061,North Northamptonshire,"3,625","3,721","3,891","3,961","3,993","4,240","4,428","4,586","4,815","5,077","5,294","5,072","5,304","5,208","5,538","5,713","5,998","6,210","6,381","6,523","6,843","7,110","6,823","7,483","8,175","8,806"
East Midlands ,E07000136,Boston,696,698,740,800,838,887,870,888,927,983,"1,030",999,"1,007","1,050","1,107","1,161","1,244","1,256","1,295","1,369","1,416","1,451","1,372","1,461","1,518","1,640"
East Midlands ,E07000137,East Lindsey,"1,254","1,271","1,335","1,415","1,507","1,564","1,566","1,577","1,696","1,732","1,848","1,778","1,804","1,880","1,927","2,031","2,067","2,100","2,143","2,257","2,273","2,439","2,339","2,544","2,661","2,876"
East Midlands ,E07000138,Lincoln,"1,248","1,277","1,302","1,400","1,495","1,624","1,634","1,724","1,886","2,011","2,159","2,134","2,147","2,163","2,197","2,303","2,356","2,506","2,531","2,617","2,730","2,841","2,679","2,783","2,899","3,215"
East Midlands ,E07000139,North Kesteven,"1,272","1,304","1,352","1,448","1,535","1,606","1,584","1,608","1,740","1,822","1,919","1,848","1,859","1,877","1,986","2,081","2,158","2,170","2,160","2,365","2,503","2,663","2,626","2,879","3,093","3,297"
East Midlands ,E07000140,South Holland,"1,089","1,105","1,159","1,244","1,268","1,322","1,270","1,271","1,345","1,425","1,472","1,446","1,452","1,480","1,575","1,685","1,716","1,730","1,828","1,995","2,079","2,118","2,157","2,404","2,344","2,586"
East Midlands ,E07000141,South Kesteven,"1,435","1,455","1,514","1,652","1,735","1,858","1,861","1,926","2,038","2,178","2,306","2,213","2,274","2,267","2,428","2,501","2,553","2,530","2,525","2,728","2,767","2,865","2,740","2,899","3,109","3,381"
East Midlands ,E07000142,West Lindsey,757,756,837,863,912,954,950,955,"1,013","1,055","1,138","1,075","1,085","1,101","1,150","1,250","1,303","1,321","1,311","1,366","1,457","1,605","1,589","1,794","1,918","2,059"
West Midlands ,E06000019,"Herefordshire, County of","2,165","2,277","2,386","2,407","2,534","2,606","2,591","2,614","2,712","2,777","2,938","2,832","2,846","2,996","3,106","3,235","3,412","3,511","3,534","3,679","3,886","4,043","3,898","4,141","4,532","4,927"
West Midlands ,E07000234,Bromsgrove,"1,308","1,350","1,438","1,454","1,444","1,551","1,705","1,825","2,021","1,795","1,940","2,087","2,118","2,238","2,402","2,483","2,514","2,363","2,463","2,794","2,864","2,872","2,812","2,898","3,462","3,780"
West Midlands ,E07000235,Malvern Hills,822,878,918,973,"1,065","1,096","1,136","1,133","1,182","1,215","1,268","1,233","1,305","1,376","1,357","1,344","1,403","1,406","1,441","1,497","1,629","1,757","1,638","1,651","1,846","2,069"
West Midlands ,E07000236,Redditch,"1,003","1,037","1,077","1,087","1,096","1,151","1,228","1,252","1,328","1,345","1,403","1,357","1,409","1,484","1,577","1,722","1,922","2,040","2,079","2,231","2,207","2,163","2,013","2,002","2,200","2,446"
West Midlands ,E07000237,Worcester,"1,500","1,566","1,644","1,668","1,714","1,852","1,965","2,015","2,154","2,205","2,279","2,250","2,311","2,411","2,648","2,820","2,897","3,003","2,791","2,938","3,030","3,090","3,048","3,128","3,521","3,799"
West Midlands ,E07000238,Wychavon,"1,355","1,434","1,508","1,555","1,558","1,662","1,741","1,768","1,882","1,928","2,026","1,916","1,946","2,086","2,216","2,237","2,413","2,529","2,572","2,713","2,898","3,064","3,072","3,192","3,361","3,673"
West Midlands ,E07000239,Wyre Forest,830,865,893,906,926,983,"1,025","1,058","1,111","1,137","1,171","1,119","1,126","1,178","1,229","1,239","1,295","1,284","1,318","1,369","1,427","1,493","1,432","1,498","1,652","1,750"
West Midlands ,E07000218,North Warwickshire,"1,299","1,403","1,453","1,456","1,478","1,556","1,604","1,675","1,766","1,767","1,813","1,726","1,810","1,898","2,084","2,200","2,266","2,405","2,344","2,635","2,953","2,945","2,760","2,913","3,360","3,721"
West Midlands ,E07000219,Nuneaton and Bedworth,920,971,"1,009","1,032","1,046","1,092","1,154","1,198","1,261","1,283","1,335","1,272","1,294","1,360","1,495","1,637","1,780","1,835","1,803","1,961","2,082","2,161","2,060","2,149","2,434","2,669"
West Midlands ,E07000220,Rugby,"1,376","1,497","1,560","1,609","1,661","1,752","1,903","1,953","2,065","2,126","2,214","2,067","2,152","2,247","2,341","2,399","2,509","2,686","2,804","2,982","2,959","2,881","2,781","2,976","3,504","3,997"
West Midlands ,E07000221,Stratford-on-Avon,"1,863","2,027","2,180","2,203","2,271","2,301","2,342","2,629","2,796","2,867","3,019","2,795","2,981","3,170","3,394","3,740","3,885","4,072","4,287","4,926","5,064","5,042","4,480","4,823","5,360","6,266"
West Midlands ,E07000222,Warwick,"2,402","2,554","2,618","2,659","2,810","3,138","3,263","3,385","3,576","3,625","3,763","3,731","3,825","3,992","4,203","4,643","5,050","5,511","5,647","6,306","6,299","6,476","6,206","5,995","7,057","8,514"
West Midlands ,E06000020,Telford and Wrekin,"2,321","2,402","2,419","2,559","2,631","2,739","2,892","2,980","3,075","3,135","3,243","3,142","3,203","3,313","3,427","3,578","3,672","3,726","4,098","4,266","4,419","4,662","4,725","5,341","5,575","5,793"
West Midlands ,E06000051,Shropshire,"3,341","3,390","3,488","3,640","3,872","4,089","4,293","4,461","4,605","4,718","5,022","4,803","4,897","5,019","5,122","5,333","5,546","5,625","5,834","5,987","6,284","6,351","6,129","7,001","7,419","7,987"
